fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,wine_type,target
5.3,0.32,0.12,6.6,0.043,22.0,141.0,0.9937,3.36,0.6366206477594683,10.701289684335304,white,3
6.4,0.3,0.27,4.4,0.055,17.0,135.0,0.9925,3.23,0.4767973816854967,12.643780825225491,white,3
6.5,0.22,0.32,2.2,0.028,36.0,92.0,0.99076,3.27,0.6237634771762669,12.379644329682565,white,4
8.0,0.24,0.48,6.8,0.047,13.0,134.0,0.99616,3.23,0.7591906175576941,10.188871353727766,white,2
8.9,0.29,0.35,1.9,0.067,25.0,57.0,0.997,3.18,1.403310377634385,10.488508348058517,red,3
6.6,0.21,0.39,2.3,0.041,31.0,102.0,0.99221,3.22,0.6315994349377254,11.136672863967831,white,4
8.8,0.24,0.54,2.5,0.083,25.0,57.0,0.9983,3.39,0.6077835193903287,9.506059055677147,red,2
5.4,0.15,0.32,2.5,0.037,10.0,51.0,0.98878,3.04,0.6154648098941721,12.951158451064801,white,3
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8343139652816928,9.744669996929623,red,3
6.5,0.24,0.24,1.6,0.046,15.0,60.0,0.9928,3.19,0.4443408154312229,10.241446494219787,white,2
6.1,0.33,0.3,3.0,0.036,30.0,124.0,0.98922,3.31,0.45602080449903193,13.438652155051779,white,4
6.8,0.27,0.49,1.2,0.044,35.0,126.0,0.99,3.13,0.5411596208132263,12.437174707652344,white,4
6.4,0.27,0.49,7.3,0.046,53.0,206.0,0.9956,3.24,0.4757804356499406,9.525851156616286,white,3
6.7,0.27,0.3,13.9,0.029,34.0,131.0,0.9953,3.36,0.5273218372561083,12.32186774755369,white,4
6.0,0.42,0.19,2.0,0.075,22.0,47.0,0.99522,3.39,0.8501038641053718,10.20213084859398,red,3
6.3,0.3,0.24,6.6,0.04,38.0,141.0,0.995,3.22,0.5230535526239947,9.924417790388201,white,2
6.4,0.15,0.4,1.3,0.053,61.0,146.0,0.99112,3.17,0.7524504209831104,11.32774200975083,white,3
6.4,0.2,0.15,6.6,0.046,26.0,113.0,0.99408,2.99,0.6542526575798462,10.3549197427653,white,3
7.6,0.2,0.36,1.9,0.043,24.0,111.0,0.99237,3.29,0.601329325324124,11.738888609333635,white,3
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.6449467866074792,10.520071142615803,red,2
7.1,0.875,0.05,5.7,0.082,3.0,14.0,0.99808,3.4,0.5716532587854362,10.513984416002415,red,0
6.6,0.39,0.28,9.2,0.036,10.0,92.0,0.99206,3.07,0.3982852712391733,12.510840816984969,white,3
6.3,0.18,0.22,5.6,0.047,45.0,147.0,0.99383,3.09,0.5739080771958911,10.363035383335239,white,2
6.4,0.26,0.42,9.7,0.044,30.0,140.0,0.9962,3.18,0.5097125483046592,9.42142820610145,white,3
6.3,0.12,0.36,2.1,0.044,47.0,146.0,0.9914,3.27,0.813292176324629,11.61550032364606,white,4
10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.76888632479837,11.938014569093149,red,3
5.8,0.22,0.29,0.9,0.034,34.0,89.0,0.98936,3.14,0.40342195297317734,11.43198196211568,white,4
7.6,0.42,0.08,2.7,0.084,15.0,48.0,0.9968,3.21,0.6768459713722988,10.173815280778971,red,2
7.5,0.58,0.56,3.1,0.153,5.0,14.0,0.99476,3.21,1.1144890751886507,11.818674063207851,red,3
6.3,0.2,0.37,11.8,0.045,58.0,130.0,0.99519,3.2,0.39911394280822515,10.874060275766755,white,2
6.4,0.33,0.44,8.9,0.055,52.0,164.0,0.99488,3.1,0.5471909883210481,10.01789936167418,white,2
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8557412767252438,10.932551752486876,red,2
8.3,0.49,0.36,1.8,0.222,6.0,16.0,0.998,3.18,0.6031072954920317,9.861373583665035,red,3
6.3,0.34,0.52,6.3,0.047,63.0,186.0,0.99481,3.18,0.5237782032089648,9.802683091218647,white,2
9.3,0.715,0.24,2.1,0.07,5.0,20.0,0.9966,3.12,0.6208023311744585,10.262136959673029,red,2
6.6,0.33,0.32,15.6,0.054,62.0,227.0,0.99734,3.25,0.6283377695297206,10.626821751485004,white,2
6.9,0.23,0.34,4.0,0.047,24.0,128.0,0.9944,3.2,0.5723492883747668,9.878794619338867,white,3
6.6,0.32,0.24,1.3,0.06,42.5,204.0,0.99512,3.59,0.5730894322807527,9.489984329043098,white,2
7.2,0.19,0.39,1.2,0.036,32.0,85.0,0.9918,3.16,0.5625685295217218,10.819203005400343,white,2
6.9,0.4,0.56,11.2,0.043,40.0,142.0,0.9975,3.14,0.4949049973962826,8.98121174512014,white,2
5.7,0.26,0.3,1.8,0.039,30.0,105.0,0.98995,3.48,0.5450616385788933,12.62288507942708,white,4
6.4,0.28,0.28,3.0,0.04,19.0,98.0,0.99216,3.25,0.5064760597968587,11.51383887445691,white,3
5.8,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.4852027043113309,12.09191671884941,white,4
6.0,0.395,0.0,1.4,0.042,7.0,55.0,0.99135,3.37,0.3947838010515113,11.558784832499956,white,1
8.1,0.25,0.38,3.8,0.051,18.0,129.0,0.9928,3.21,0.4090010339048249,11.70056132356469,white,3
7.4,0.29,0.5,1.8,0.042,35.0,127.0,0.9937,3.45,0.5457046203721929,10.57031371174635,white,4
